,Votes,UnemploymentRate2015,MedHHInc,PerCapitaInc,PovertyAllAgesPct,DeepPovAll,TotalAreaSqM,PopulationDensitySqM,TotalMaleRate,TotalFemaleRate,VoterTurnoutRate,Democrat,Population,County,State,DominantEducation,DominantReligion,Young,Adult,Old,DominantEthnicMale,DominantEthnicFemale,EstimatePopulation2015Normal,PopulationNormal,MedHHIncNormal,PerCapitaIncNormal,TotalAreaSqMNormal,PopulationDensitySqMNormal,Age
0,7471,0.032,55462.0,27122.0,0.162,0.04933008526,15009.86,0.4,0.483099789,0.49832627,0.02236156839,0,3141,013,02,only high school,Other Misc,0.25037031899999995,0.5845953960000001,0.16503428500000006,White,White,-0.3029414040241917,-0.3037688705947535,0.6875600264663677,0.5365463792619027,3.6070308507060918,-0.15174141095966098,Adult
1,7471,0.038,68387.0,32700.0,0.099,0.04287817446,14116.44,1.3,0.483099789,0.49832627,0.0131024202,0,5561,016,02,only high school,Catholic,0.25037031899999995,0.5845953960000001,0.16503428500000006,White,White,-0.29581291387808895,-0.2960326276723141,1.756004892087457,1.514791300378666,3.373533154878344,-0.15121970016337113,Adult
2,7471,0.05,75200.0,36508.0,0.1,0.03903225031,1961.0,171.2,0.483099789,0.49832627,0.00025012136,0,291826,020,02,college,Christian Generic,0.25037031899999995,0.5845953960000001,0.16503428500000006,White,White,0.5888112764552755,0.6190977773657467,2.319201400364167,2.182621465242889,0.19667654569963874,-0.05273229539710273,Adult
3,7471,0.14400000000000002,45808.0,18875.0,0.23800000000000002,0.0864484623,45504.21,0.4,0.483099789,0.49832627,0.00416304469,0,17013,050,02,only high school,Catholic,0.25037031899999995,0.5845953960000001,0.16503428500000006,White,White,-0.2588450047934292,-0.2594229359583572,-0.11048768979715222,-0.9097759341927311,11.57681041772371,-0.15174141095966098,Adult
4,7471,0.092,75364.0,37012.0,0.095,0.04868154158,887.56,2.0,0.483099789,0.49832627,0.08375560538,0,997,060,02,college,Catholic,0.25037031899999995,0.5845953960000001,0.16503428500000006,White,White,-0.3103355896945879,-0.3106227982086832,2.332758457073015,2.271010751769036,-0.08386985645090367,-0.15081392509959016,Adult
5,7471,0.087,69692.0,36828.0,0.071,0.07211296016,12776.92,0.1,0.483099789,0.49832627,0.038931735280000004,0,1826,068,02,college,Christian Generic,0.25037031899999995,0.5845953960000001,0.16503428500000006,White,White,-0.3072348021553895,-0.30797265548855834,1.8638826908987158,2.238741647164252,3.0234460362609132,-0.15191531455842422,Adult
6,7471,0.09699999999999999,51082.0,21774.0,0.175,0.060747663550000004,20915.21,0.3,0.483099789,0.49832627,0.01495097058,0,4847,070,02,only high school,Catholic,0.25037031899999995,0.5845953960000001,0.16503428500000006,White,White,-0.2979414973397588,-0.29831513901389334,0.32548741436421136,-0.40136216109888073,5.150409796841605,-0.15179937882591538,Adult
7,7471,0.054000000000000006,67801.0,32906.0,0.095,0.036685608839999995,7443.69,13.3,0.483099789,0.49832627,0.00074986701,0,97581,090,02,college,Christian Generic,0.25037031899999995,0.5845953960000001,0.16503428500000006,White,White,-0.012216153635275659,-0.0018635889438549755,1.7075632138473054,1.5509186674905437,1.6295921754570142,-0.1442635562128401,Adult
8,7471,0.09699999999999999,67260.0,32312.0,0.098,0.02662957075,2725.5,1.1,0.483099789,0.49832627,0.02948303078,0,2508,100,02,bachelor and higher,Christian Generic,0.25037031899999995,0.5845953960000001,0.16503428500000006,White,White,-0.3053779527526563,-0.3057924415740527,1.6628414597040937,1.4467455797990132,0.3964806562638898,-0.15133563589587998,Adult
9,7471,0.15,51687.0,30811.0,0.191,0.060462919229999995,10914.15,0.3,0.483099789,0.49832627,0.03502578528,0,2150,105,02,college,Catholic,0.25037031899999995,0.5845953960000001,0.16503428500000006,White,White,-0.30658867894858477,-0.30693689403943836,0.37549972722307084,1.1835068514741185,2.536606136933549,-0.15179937882591538,Adult
